"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"67","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","276","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"68","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","312","Avoid unused local variables such as 'row'.","Best Practices","UnusedLocalVariable"
"69","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","316","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"70","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","350","Avoid unused local variables such as 'row'.","Best Practices","UnusedLocalVariable"
"71","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","354","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"72","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","387","The method 'whichDirectionToPutShip(Scanner)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"73","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","409","Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"74","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","409","Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"75","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","412","Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"76","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","412","Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"77","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","428","The method 'whichDirectionToPutShipForSecondPlayer(Scanner)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"78","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","450","Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"79","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","450","Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"80","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","453","Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"81","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","453","Position literals first in String comparisons","Best Practices","PositionLiteralsFirstInComparisons"
"82","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","17","Possible God Class (WMC=59, ATFD=9, TCC=12.434%)","Design","GodClass"
"83","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","22","Avoid unused private fields such as 'ships'.","Best Practices","UnusedPrivateField"
"84","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","27","Avoid unused private fields such as 'issunk'.","Best Practices","UnusedPrivateField"
"85","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","27","Perhaps 'issunk' could be replaced by a local variable.","Design","SingularField"
"86","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","28","Avoid unused private fields such as 'isshot'.","Best Practices","UnusedPrivateField"
"87","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","28","Perhaps 'isshot' could be replaced by a local variable.","Design","SingularField"
"88","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","29","Avoid unused private fields such as 'isHit'.","Best Practices","UnusedPrivateField"
"89","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","29","Perhaps 'isHit' could be replaced by a local variable.","Design","SingularField"
"90","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","30","Avoid unused private fields such as 'isHidden'.","Best Practices","UnusedPrivateField"
"91","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","30","Perhaps 'isHidden' could be replaced by a local variable.","Design","SingularField"
"92","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","31","Avoid unused private fields such as 'shipIdentifier'.","Best Practices","UnusedPrivateField"
"93","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","31","Perhaps 'shipIdentifier' could be replaced by a local variable.","Design","SingularField"
"94","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","32","To avoid mistakes add a comment at the beginning of the shipCoordinates field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"95","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","32","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"96","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","49","Avoid unused constructor parameters such as 'isHidden'.","Best Practices","UnusedFormalParameter"
"97","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","49","Avoid unused constructor parameters such as 'isHit'.","Best Practices","UnusedFormalParameter"
"98","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","51","Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"99","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","52","Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"100","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","67","Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"101","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","3","68","Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"102","model","/Users/cuenc/Documents/PF2-Project/src/model/Ship.java","4","96","A getX() method which returns a boolean should be named isX()","Code Style","BooleanGetMethodName"
"103","tui","/Users/cuenc/Documents/PF2-Project/src/tui/TuiUtil.java","4","3","Avoid unused imports such as 'model.Ai'","Best Practices","UnusedImports"
"104","tui","/Users/cuenc/Documents/PF2-Project/src/tui/TuiUtil.java","3","18","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"105","tui","/Users/cuenc/Documents/PF2-Project/src/tui/TuiUtil.java","3","22","Avoid unused private fields such as 'name'.","Best Practices","UnusedPrivateField"
"106","tui","/Users/cuenc/Documents/PF2-Project/src/tui/TuiUtil.java","1","24","The constant name 'game' doesn't match '[A-Z][A-Z_0-9]*'","Code Style","FieldNamingConventions"
"107","tui","/Users/cuenc/Documents/PF2-Project/src/tui/TuiUtil.java","3","24","To avoid mistakes add a comment at the beginning of the game field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"108","tui","/Users/cuenc/Documents/PF2-Project/src/tui/TuiUtil.java","3","24","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"109","tui","/Users/cuenc/Documents/PF2-Project/src/tui/TuiUtil.java","3","35","To avoid mistakes add a comment at the beginning of the ship field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"110","tui","/Users/cuenc/Documents/PF2-Project/src/tui/TuiUtil.java","3","35","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"111","tui","/Users/cuenc/Documents/PF2-Project/src/tui/TuiUtil.java","3","45","Avoid really long methods.","Design","ExcessiveMethodLength"
"112","tui","/Users/cuenc/Documents/PF2-Project/src/tui/TuiUtil.java","3","45","The method 'run()' has a NCSS line count of 64.","Design","NcssCount"
